YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201606,105138,640636,1,0.49,SW,BELLEVIEW,35.0454,-86.6066,352724,8636396
201606,105138,640637,1,0.56,W,FAYETTEVILLE,35.15,-86.59,359000,8635400
201606,105138,640639,1,0.57,W,KIRKLAND,35.07,-86.64,354200,8638400
201606,105138,640640,1,1.59,NNE,BLANCHE,35.0706,-86.7574,354236,8645444
201606,105138,640642,1,0.89,SW,LINCOLN,35.01,-86.53,35600,8631800
201606,105138,640643,1,1.14,SSW,MOLINO,35.1052,-86.6889,356312,8641334
201606,105138,640644,1,1.28,NNW,LINCOLN,35.037,-86.5291,352220,8631746
201612,112568,671604,1,3.05,N,SILVER BOTTOM,36.2736,-86.5112,3616416,8630672
201612,112568,671562,1,2.21,ESE,HENDERSONVILLE,36.2699,-86.5824,3616194,8634944
201603,104062,622531,1,1.22,W,LOIS,35.2288,-86.3916,3513728,8623496
201607,107251,643311,2,1.34,ENE,MICHIE,35.0598,-88.4296,353588,8825776
201607,107251,643311,1,0.91,N,MICHIE,35.0632,-88.4485,353792,8826910
201607,107254,643431,1,1.21,SE,OAKVILLE,35.0563,-89.9367,353378,8956202
201607,107254,643431,2,2.26,NNE,CAPLEVILLE,35.0498,-89.9037,352988,8954222
201607,107254,643437,1,1.0,N,ROSEMARK,35.3845,-89.78,3523070,8946800
201607,107254,643440,1,1.44,SSW,IDAVILLE,35.4103,-89.7284,3524618,8943704
201607,107254,643440,2,1.56,S,IDAVILLE,35.4077,-89.7157,3524462,8942942
201602,103313,617419,1,0.89,SW,SWEETWATER,35.59,-84.48,3535400,8428800
201602,103313,617420,1,0.56,W,JENA,35.65,-84.18,3539000,8410800
201602,103313,617421,1,0.89,SW,FARRAGUT,35.87,-84.18,3552200,8410800
201602,103313,617423,1,0.69,N,SOUTH CLINTON,36.09,-84.13,365400,847800
201602,103313,617424,1,0.69,N,SOUTH CLINTON,36.09,-84.13,365400,847800
201602,103313,617425,1,0.69,N,SOUTH CLINTON,36.09,-84.13,365400,847800
201602,103313,617427,1,0.0,N,WEST KNOXVILLE,35.97,-83.95,3558200,8357000
201602,103313,617428,1,0.56,W,MAYNARDVILLE,36.25,-83.81,3615000,8348600
201607,105863,635129,1,1.31,ESE,TATE SPGS,36.32,-83.31,3619200,8318600
201607,105863,635130,1,0.56,W,MOHAWK,36.2,-83.06,3612000,833600
201607,105863,635131,1,0.56,E,GREENEVILLE,36.17,-82.82,3610200,8249200
201607,105863,635132,1,0.57,W,CHICKAMAUGA,35.07,-85.26,354200,8515600
201607,105863,635133,1,0.89,NE,ELIZABETHTON,36.36,-82.21,3621600,8212600
201607,105869,635152,1,1.68,E,SARATOGA SPGS,35.72,-85.2,3543200,8512000
